iter	Passed	Remaining
425	2826	491
426	2828	483
427	2834	476
428	2840	470
429	2847	463
430	2854	456
431	2855	449
432	2861	442
433	2868	436
434	2875	429
435	2881	422
436	2888	416
437	2894	409
438	2901	403
439	2908	396
440	2915	390
441	2922	383
442	2923	376
443	2930	369
444	2938	363
445	2945	356
446	2951	350
447	2958	343
448	2965	336
449	2972	330
450	2979	323
451	2986	317
452	2992	310
453	2999	303
454	3005	297
455	3012	290
456	3019	284
457	3025	277
458	3032	270
459	3039	264
460	3046	257
461	3053	251
462	3059	244
463	3061	237
464	3068	230
465	3074	224
466	3081	217
467	3087	211
468	3093	204
469	3100	197
470	3106	191
471	3113	184
472	3120	178
473	3127	171
474	3134	164
475	3140	158
476	3147	151
477	3154	145
478	3161	138
479	3167	131
480	3174	125
481	3180	118
482	3187	112
483	3191	105
484	3198	98
485	3205	92
486	3211	85
487	3218	79
488	3225	72
489	3231	65
490	3238	59
491	3245	52
492	3247	46
493	3254	39
494	3260	32
495	3267	26
496	3274	19
497	3280	13
498	3286	6
499	3293	0
