iter	RMSE
0	2.133621294
1	2.109528248
2	2.088606406
3	2.066311744
4	2.047300564
5	2.035760111
6	2.019919956
7	2.005506001
8	1.992750273
9	1.976942968
10	1.966763725
11	1.958056544
12	1.945697115
13	1.933575419
14	1.927982301
15	1.916819442
16	1.909411778
17	1.904735704
18	1.895698077
19	1.887012501
20	1.881491404
21	1.873518761
22	1.868918463
23	1.862536597
24	1.859306707
25	1.852373693
26	1.847014548
27	1.841412633
28	1.836936983
29	1.832743462
30	1.829345049
31	1.823956571
32	1.819517339
33	1.815330542
34	1.813730957
35	1.809644353
36	1.805582356
37	1.803129821
38	1.799839354
39	1.797618106
40	1.793132386
41	1.791228453
42	1.78945009
43	1.786848007
44	1.78234351
45	1.780223713
46	1.775120825
47	1.766613354
48	1.76059091
49	1.756896682
50	1.752123049
51	1.742576467
52	1.740657796
53	1.736258296
54	1.732770003
55	1.729892896
56	1.727703263
57	1.723551741
58	1.721819784
59	1.718640889
60	1.715779731
61	1.713749782
62	1.712086324
63	1.709324638
64	1.70425274
65	1.701934566
66	1.698017089
67	1.69613608
68	1.69183447
69	1.689370669
70	1.684903263
71	1.682036238
72	1.678173052
73	1.673133055
74	1.670277219
75	1.667250958
76	1.66511131
77	1.662932565
78	1.656409784
79	1.652508735
80	1.648271882
81	1.643961598
82	1.642351766
83	1.638587782
84	1.636163641
85	1.633321586
86	1.63269073
87	1.631348239
88	1.629624819
89	1.627886793
90	1.621766685
91	1.617837831
92	1.612841781
93	1.608484155
94	1.603830681
95	1.601901998
96	1.600760531
97	1.599078908
98	1.595023563
99	1.590576471
